record_id,mode,subtype,strategies,algorithm_family,task_family_hash,difficulty,outcome,provider,toolchain,prompt_version,cosim_status
1c0b2bad76dcfd278537a4bd178414cfd27b01306bed492649e4c1bab244da4b,STRUCTURAL_FIX,STRUCTURAL_ERROR_OTHER,INCREASE_FIFO_DEPTH+FIX_STREAM_ORDER,STREAM_PIPELINE,0a990360b37c0f14d80d317a00a62d335d3ccdefad5d3a538f580028a97e5009,4,FAILURE,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:224bb4dedaa182086b4a64647df13b5a3ba5e33cf01619ce604dea10e70ed335,FAIL
24bafa86308e643d65f48dadb13da9d08425767b6f19d826f0c74ae110ff7110,STRUCTURAL_FIX,STREAM_ORDER_MISMATCH,FIX_STREAM_ORDER,STREAM_PIPELINE,0a990360b37c0f14d80d317a00a62d335d3ccdefad5d3a538f580028a97e5009,4,SUCCESS,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:224bb4dedaa182086b4a64647df13b5a3ba5e33cf01619ce604dea10e70ed335,PASS
2bda026a78f4b3b22920a27245da726c65146c5a759716088b50fc2e1c181163,SYNTH_FIX,SYNTHESIS_ERROR_OTHER,OTHER_SYNTHESIS_REPAIR,STREAM_PIPELINE,368f6def327a1a8c6b101f78e4dbb912fd42df05f03178b019fdbd85ef6e973f,4,FAILURE,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:0af906ad9f1bf920c5676df4b030bd68720c9daf25fa9426fc53f0fb7a9f49c1,NOT_RUN
3c80688b3ed3059f0df8659b3650e8e83fba21db0a125152dc7bb1fc009f471d,OPTIMIZE,OPTIMIZATION_BOTTLENECK_OTHER,DATAFLOW,STREAM_PIPELINE,13da88166808091d00b8db11d4e5edc8c22efeba6135d30f93078beea7a9d10d,2,FAILURE,openai-compatible-fast-experiment,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:f93a712cad54fec41b08de6678d58fcc4705e6db2c2224e927405ba2bdf06548,PASS
48de35b0cc5b41757bf4384df705d3cb07c7e3a02b1a6286c0a8acc30ba90c0a,OPTIMIZE,OPTIMIZATION_BOTTLENECK_OTHER,LOCAL_LOOP_RESTRUCTURE,STREAM_PIPELINE,81563d3db02440d1d815c18bed526280c11aa0cabe5698f6b5021255c59c8b4a,2,SUCCESS,openai-compatible-fast-experiment,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:f93a712cad54fec41b08de6678d58fcc4705e6db2c2224e927405ba2bdf06548,PASS
4aaad796d2b4d3caf2968af0a43c96cd2d90315bfaa263e7bdad7906c3541d7d,REPAIR,FUNCTIONAL_MISMATCH_OTHER,FIX_BRANCH_CONDITION+FIX_COEFFICIENT,VECTOR_ELEMENTWISE,e7dfe034cb8ec779f2f24b4ea92c20d216fb5e99c1daf73db3b75fefea32660a,4,NO_IMPROVEMENT,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:af10506c34d83153c34900ebfcafaba83bede4a884aec3a488009b20a2086b6f,NOT_RUN
69115606c44e98da6620346791759fb1e85548b7e3eb5f6f49dbcb51cbefff22,OPTIMIZE,HIGH_TRANSACTION_LATENCY_WITH_II_ONE,LOOP_PIPELINE+LOOP_UNROLL+ARRAY_PARTITION,DOT_PRODUCT,8edeca9d868e8db5e7178b0a67b7054ebcf52bc3e7903485294397fc4fcc551f,3,SUCCESS,openai-compatible-fast-experiment,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:f2c3c7a4f43e0540d59aba4b4c7732d15169a453ad7d4ab3f89cc2a6b308e489,PASS
773f6f8672354e369936863c990748efaee54f253c43b64cb965f3b430e92fc5,REPAIR,FUNCTIONAL_MISMATCH_OTHER,OTHER_FUNCTIONAL_REPAIR,VECTOR_ELEMENTWISE,e7dfe034cb8ec779f2f24b4ea92c20d216fb5e99c1daf73db3b75fefea32660a,4,FAILURE,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:af10506c34d83153c34900ebfcafaba83bede4a884aec3a488009b20a2086b6f,NOT_RUN
7e9ba30d42c5c48ac1cb7f7127bd914c25b1668b8adeb5eaafa25a5c1b0fbb94,SYNTH_FIX,SYNTHESIS_ERROR_OTHER,OTHER_SYNTHESIS_REPAIR,STENCIL,2144fc1cb07f8992f5b58fecbb41ea3adef9c1932f98fb437a6f82198f326a03,3,NO_IMPROVEMENT,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:3c363ce579db594eaa56d910da509516f6b20d92c8308e5fee8b090372cbf263,NOT_RUN
a5570b61d905b2056402a859c76ae9317755c3129821e9d982dfaa86a5e1f9a0,SYNTH_FIX,UNSUPPORTED_STL,REPLACE_UNSUPPORTED_STL,STREAM_PIPELINE,368f6def327a1a8c6b101f78e4dbb912fd42df05f03178b019fdbd85ef6e973f,4,SUCCESS,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:0af906ad9f1bf920c5676df4b030bd68720c9daf25fa9426fc53f0fb7a9f49c1,PASS
c198a804c04eb370ab77ca1b22267b7d061947a818e72d549ec70aa1260c08b5,REPAIR,WRONG_BRANCH_CONDITION,FIX_BRANCH_CONDITION,VECTOR_ELEMENTWISE,fba29ebd8fb023231a42c1efaca080a4fabca6bffb27b64e90af1c941e6c2cfa,2,NO_IMPROVEMENT,openai-compatible-task-aware,Vitis 2025.2,openai-v2-compat-planner-adapter-v1:c5d53537b25d43e6feb999053cd46a5fb1514a5dd56e25e2bf294665506f6923,NOT_RUN
